worda	wordB	rating
tímido	costoso	0.4
enfermos	loco	1.4
moderno	antiguo	0.2
bizarro	extraño	3.9
honesto	culpable	0.1
tonto	denso	0.4
quinto	parte superior	0.1
malo	culpable	1.4
precioso	sagrado	2
Delgado	esbelto	3.1
limpiar	inmaculado	1.4
privado	público	0.2
agudo	aburrido	0
grave	gracioso	0
potente	poderoso	3.7
nuevo	antiguo	0.2
precioso	perezoso	0
informe	amorfo	2.2
malo	inmoral	2.5
racional	sobrio	1.1
grande	ancho	1.9
crucial	importante	4.4
maravilloso	estupendo	5.4
raro	impar	0.9
feliz	enfadado	0.2
conocido	popular	4.3
curvo	torcido	3.5
necesario	importante	3.5
extramatrimonial	inmencionable	0.3
fuerte	orgulloso	1
feliz	joven	0.1
terminado	completar	3
tonto	confiado	1
menor	significativo	0.2
sucio	increíble	0
cargado	pesado	2.9
solitario	pobre	0.3
otro	opuesto	1.1
avergonzado	trastornado	0.7
aparente	obvio	3.8
masivo	astronómico	1.6
exótico	raro	4.1
saliente	bonito	0.5
inquieto	joven	0.2
sucio	estrecho	0
mensual	semanal	0.5
esencial	necesario	5.1
relajado	estresado	0.2
grande	enorme	5
perceptible	obvio	3
estrecho	blanco	0
negativo	Nunca	1.6
triste	aburrido	0.5
fácil	flexible	1.8
personal	íntimo	4.9
cubierto	vestido	2.6
bonito	cruel	0.1
obstinado	estúpido	0.7
Fresco	amplio	0.1
necesitado	inseguro	0.7
malo	deshonesto	1.5
hermoso	maravilloso	3.1
brillante	genial	3.3
sucio	barato	0
duro	difícil	5
agudo	suave	0.5
avergonzado	suerte	0
ignorante	regular	0
malo	genial	0.1
neutral	calma	1.1
imprevisto	no previsible	5.4
listo	inteligente	5.3
deshonesto	veraz	0.1
astuto	inteligente	4.6
genial	horrible	0.2
estupendo	enojado	0.1
picante	bueno	0
gratis	inocente	0.1
rígido	fácil	0.1
templado	agudo	0.5
difícil	denso	2
frágil	frígido	0.1
sencillo	fácil	4.6
nuevo	no usado	5.7
diferente	normal	0.2
temeroso	ansioso	1.1
descubierto	cubierto	0.2
agresivo	grosero	2.5
simpático	generoso	1.7
poderoso	débiles	0.3
sucio	feo	0.7
triste	gracioso	0.1
asustado	nervioso	2.1
duro	sencillo	0.2
débiles	picante	0
grande	flexible	0
innecesario	necesario	0.2
duro	cruel	3.3
impotente	vulnerable	1.7
relajado	calma	3.7
malo	terrible	4.2
Cortés	apropiado	2.9
pequeñito	enano	4.8
feliz	enojado	0.2
poco claro	vago	1.7
feliz	contento	4.2
templado	medio	2.1
eléctrico	dulce	0
desformado	uniforme	0.6
antiguo	Fresco	0
tortuoso	que no es de fiar	1
orgulloso	triste	0.1
escaso	raro	4
personal	privado	4.1
infantil	tonto	2.2
impaciente	ansioso	4.2
regular	promedio	4.1
nuevo	Fresco	4
minúsculo	enorme	0.2
grosero	ruidoso	0.9
mecánico	eléctrico	1.2
difícil	fácil	0.2
extraño	normal	0.2
saliente	entrante	0.2
limpiar	ordenado	1.3
detener	conducir	0.6
proteger	ayuda	1.3
olvidar	ignorar	2.4
objetivo	golpear	0.4
criticar	odiar	1
ir	entrar	1.3
deambular	buscar	0.9
depender	confiar	2.1
pedir prestado	mendigar	1.3
salir	aparecer	0.6
perder	fallar	2.5
definir	aclarar	3.8
retratar	decidir	0.6
entender	perdonar	1
aceptar	negar	0.1
aclarar	explicar	4.8
concluir	decidir	2.6
recoger	organizar	1.5
destruir	hacer	0.2
beber	tragar	2.2
recibir	captura	0.3
enfadar	herir	1.2
seguir	perseguir	3.7
pedir prestado	desear	1
disfrutar	odiar	0.1
ir	vender	0.1
montar	correr	0.4
detener	advertir	0.7
saludar	realizar	0.3
absorber	retirar	0.2
testificar	juez	0.9
retirar	rechazar	1.3
inspeccionar	examinar	4.9
creer	sentir	2.2
descomponer	destruir	3.2
volverse	parecer	0.4
cocinar	perder	0.1
enterrar	morir	1
respirar	ahogarse	0.5
descubrir	originar	1.5
aplazar	terminar	0.5
explicar	probar	2.3
entregar	llevar	2.7
encontrar	desaparecer	0.3
detener	silbar	0.5
empezar	ir	0.6
salir	deambular	1.3
dar	prestar	2.2
contar	recordar	0.8
aprender	educar	1.7
desalojar	salir	2.6
paga	tratar	0.2
pretender	retratar	0.9
corregir	evaluar	4.3
ir	venir	1.3
recoger	salvar	0.7
morder	luchar	0.6
mentira	pretender	1.2
darse cuenta de	descubrir	4.6
discutir	persuadir	1.3
hervir	freír	0.8
excusar	perdonar	2.8
vivir	sobrevivir	2.1
lograr	tratar	0.9
negarse	disminuir	0.1
fallar	confiar	0.2
sacudir	remover	2.9
barajar	montar	0.6
desocupar	desalojar	5
estar de acuerdo	discrepar	0.8
obtener	permanecer	0
lucha	matar	0.5
de acuerdo	diferir de	0.3
traer	restaurar	0.1
tomar	salir	0.4
organizar	exigir	0.3
tratar	pensar	0.7
romper	vestir	0
analizar	evaluar	4.6
unir	casar	3.1
reunir	reunirse	3.1
irradiar	brillar	4.1
adjuntar	unirse	2.7
salir	ignorar	0.3
culpa	acusar	2.4
explorar	descubrir	3.1
desear	escoger	1.4
tomar	obtener	2.9
leer	morder	0
escuchar	obedecer	0.9
demoler	aplastar	2.3
asistir	llegar	2.2
suponer	predecir	2.5
abrazar	abrazo	4.6
gestionar	organizar	4.5
adquirir	robar	0.7
rechazar	condenar	2.2
crear	bucear	0
robar	comprar	0.2
morir	desintegrarse	0.7
pedir	alegar	0.7
enviar	asistir	0.7
tomar	aprovechar	0.7
cazar	susto	0.1
entender	escucha	1.1
buscar	encontrar	1.3
golpear	ganar	0.3
recorrer	levantar	0.1
preocuparse	malgastar	0.1
limpiar	informar	0
dar	negar	0.1
discutir	pedir	0.6
buscar	preguntar	1
unirse	añadir	2.9
frustrar	desalentar	3.5
salvar	rescatar	5.5
matar	ahogarse	1
volverse	aparecer	0.9
tomar	entregar	0.9
mezcla	beber	0.6
verter	gotear	1.6
disminución	descender	2.6
asumir	pretender	2.3
seleccionar	recoger	1.8
comportarse	obedecer	2.8
añadir	construir	1
escoger	elegir	5.7
mezclar	disolver	2
perder	sustraer	0.4
aceptar	disminuir	0
alegar	mendigar	0.3
ahogar	abrazar	0.7
empapar	reducir	0
obtener	poner	0.2
traer	quejar	0
competir	terminar	0.2
involucrarse	casar	0.9
quejarse	discutir	2.7
ven	asistir	2
empezar	dejar	0.2
perder	mantener	0.1
lograr	realizar	3.3
cocinar	freír	2.8
deber	prestar	0.5
rechazar	evitar	3.1
dar	pedir prestado	1
permitir	aprobar	3.1
hablar	susurrar	1.5
pausa	esperar	2.9
dar	poner	1.2
investigar	examinar	4.4
tomar	recibir	1.6
buscar	mirar	2
practicar	repetir	2.7
proteger	defender	5
castigar	obedecer	1
unirse	adquirir	0.8
aprender	escuchar	1
escuchar	oír	5.1
renunciar	reprimir	1
reunir	recoger	3.1
crecer	incrementar	4
estar de acuerdo	discutir	0.5
agarrar	entender	0
discutir	justificar	0.7
cubrir	enterrar	3.4
salir	ir	3.4
desconocer	negar	1.5
discutir	diferir de	2.9
multiplicar	dividir	0.7
comprender	satisfacer	0.7
ir	enviar	0.7
localizar	encontrar	5.4
imprimir	ignorar	0
esforzarse	ejecutar	0.7
retratar	notificar	0.6
adquirir	recibir	2.7
negar	mentir	1.2
humillar	comodidad	0
mendigar	pedir	2.8
matar	destruir	1.7
dividir	despegar	1.2
prohibir	detener	2.4
culpar	empujar	0.1
oler	mimar	0
engañar	hacer trampas	4
arrestar	sospechar	0.8
absorber	poseer	1
aceptar	rechazar	0.2
tejer	movimiento	0.3
molestar	agravar	1.1
hacer	dejar	0.4
estar de acuerdo	aceptar	3.9
saber	comprender	2.9
tomar	poseer	2.2
adorar	admirar	4
estar de acuerdo	complacer	1.1
hacer	construir	3.4
elegir	rechazar	0.4
aplastar	romper	2.2
hacer	volverse	0.4
destruir	construir	0.2
destruir	salvar	0.1
dejar	permitir	5.1
enjuagar	lavar	3.7
dar	saber	0.5
retirarse	retirar	3.6
estar de acuerdo	vender	0.9
olvidar	aprender	0.1
asesorar	recomendar	4.7
cojear	caminar	0.9
odiar	despreciar	4.4
pensar	decidir	1.6
reducir	encoger	4.4
escalar	hacer senderismo	1.1
sorber	tragar	1.7
adquirir	obtener	4.8
caer	herir	1.1
pellizcar	dar un puñetazo	0.4
pedir	rezar	1.5
dar	permitir	0.9
ignorar	evitar	3.3
salir	reunirse	1.8
asumir	predecir	2.8
recoger	ganancia	0.8
desear	querer	4.6
ofender	molestia	1.5
contemplar	pensar	2.5
aceptar	recomendar	0.8
paga	comprar	1
mezcla	combinar	4.3
enviar	recibir	0.6
crear	imaginar	1.3
lograr	tener éxito	4.7
pensar	racionalizar	4.1
mantener	dar	0.7
hablar	oír	0.7
permitir	refutar	0.5
satisfacer	complacer	5
ir	permitir	0.4
beber	sorber	3.1
controlar	detener	1
empezar	originar	4
tener éxito	tratar	0.5
luchar	discrepar	1
entrar	deber	0
unirse	casarse	2.4
reducir	restringir	2.2
crear	construir	4
ganar	tener éxito	3.1
comenzar	empezar	5.9
sorprender	celebrar	1
absorber	aprender	1.6
nombrar	elegir	3.2
deambular	fluir	0.5
tomar	robar	1
ocurrir	suceder	4.8
reemplazar	restaurar	2.4
esfumarse	desaparecer	5.3
hornear	freír	1.4
captura	lanzar	0.4
garabatear	escribir	1.4
pedir prestado	vender	0.4
comparar	analizar	2.7
ahogar	abrumar	1.6
llegar	salir	0.4
mantener	proteger	1.8
unir	empatar	1.2
molestar	herir	1.8
despierto	roncar	0.2
despreciar	cargar	0.6
cerrar	vomitar	0
sostener	abrazar	1.1
implicar	incluir	3.3
llevar	traer	0.7
chocarse con	aplastar	0.7
pensar	preguntar	0.7
salir	unirse	0.5
dividir	unir	0.2
recordar	vender	0
retirarse	salir	2.9
salir	esperar	0.4
beber	aumentar	0
saber	creer	0.9
obtener	comprar	3
poner	colgar	2
discutir	probar	0.6
juzgar	decidir	2.8
empujar	tirar	1.9
debate	discutir	3.5
asistir	discutir	0.2
complacer	entretener	1.6
promover	avanzar	2.4
expandir	crecer	4.9
hacer	ganar	0.5
recuerda	pensar	1.7
acusar	mentir	0.5
organizar	volverse	0.2
hacer	ocurrir	0.6
exprimir	abrazar	0.9
realizar	volverse	0.2
complacer	alegar	0.7
asaltar	agravar	1
perseguir	persuadir	0.4
agrietar	romper	2.4
aprender	evaluar	0.9
verificar	justificar	1.8
evitar	negar	1
atacar	herir	2.6
percibir	oír	1.9
lanzar	presionar	0.2
aceptar	perdonar	2.6
dar	robar	0.1
aparecer	asistir	2.7
enseñar	educar	5.1
tropezar	caerse	3.8
hablar	reconocer	0.8
temblar	congelar	0.9
recibir	aceptar	2.6
evacuar	determinar	0.7
vestir	erosionar	0
matar	defender	0.4
levantar	aumentar	0.9
jugar	apostar	2.7
mantener	pedir prestado	0.2
salvar	proteger	2.7
perder	obtener	0.2
saludar	reunirse	0.4
cantar	flotador	0
asistir	ayudar	4.2
decir	verificar	0.8
prometer	jurar	5.3
chasquear	crujir	2.2
remover	mezcla	3.1
descender	retirarse	0.9
llegar	venir	1.9
declarar	anunciar	4.1
caminar	estar	0.2
fallar	desalentar	0.9
insultar	ofender	4.5
gastar	salvar	0.1
erosionar	descolorarse	1
encoger	crecer	0.2
ignorar	pedir	0.2
tener éxito	fallar	0.2
enseñar	castigar	0.5
informar	notificar	4.8
discutir	racionalizar	2.1
golpear	azotar	4.3
permitir	erosionar	0
agarrar	apretar	2.6
tropezarse	chocarse	2.4
matar	colgar	0.5
traer	enviar	1
pedir	reñir	0.5
darse prisa	apurarse	5.7
huir	escapar	5.5
ganar	realizar	2
negar	admitir	0.2
tomar	llevar	0.7
reír	cantar	0.4
irritar	adivinar	0
reír	llorar	0.2
reunir	asistir	0.9
cooperar	participar	4.1
decir	participar	1.2
ojear	deslumbrar	0.5
apestar	oler	2.7
investigar	perseguir	1.1
reirse	reír	5.7
conservar	mantener	5
empatar	tejer	0
superar	dominar	2.4
recibir	lograr	0.3
mantener	poseer	2.6
participar	unirse	3
deteriorarse	limpiar	0.4
separar	adjuntar	0.1
apreciar	mantener	0.4
cocinar	mezclar	1
criticar	observar	1.4
animar	desalentar	0.3
salir	entrar	0.1
robar	secuestrar	1.6
recordar	olvidar	0.1
salir	permanecer	0.1
perdonar	olvidar	2.2
crear	destruir	0.1
chillar	gritar	5.4
juzgar	acusar	2.9
exigir	preguntar	1.7
esperar	permanecer	2.3
golpear	mezclar	0
aceptar	creer	1.4
buscar	cazar	1.7
pretender	parecer	2.5
enfadar	desalentar	0.6
sacudir	recoger	0.4
molestar	interrumpir	3.2
venir	traer	0.6
terminar	graduarse	1.6
crear	hacer	3.6
viajar	ir	2.9
ganar	dominar	2.4
pretender	imaginar	1.3
entender	saber	3.4
merecer	ganar	1.6
separar	salir	0.3
exprimir	decir	0.5
cubrir	proteger	3.8
leer	comprender	1.5
irritar	enemistarse	1.2
decidir	escoger	4
adquirir	encontrar	1.1
determinar	predecir	1.6
discutir	explicar	1.3
capturar	perseguir	1.1
golpear	atraer	0.1
dar	desconocer	0.1
quemar	ahogar	0.1
nadar	reunirse	0
comunicar	rezar	0.6
aceptar	entregar	0.4
olvidar	saber	0.2
restaurar	reparar	4.7
cooperar	unirse	3.1
desorganizado	organizado	0.1
permanecer	conservar	2.9
capturar	imitar	0.4
jugar	lucha	0.4
aceptar	reconocer	4.6
discutir	grito	0.9
llorar	sollozar	4.1
disolver	derretir	2.5
añadir	dividir	0.3
multiplicar	añadir	1.3
patear	herir	1.3
renunciar	desconocer	0.9
reconocer	notificar	1
aprender	confundir	0.2
lloriquear	llorar	4.8
sugerir	asesorar	4
imitar	retratar	2.1
disfrutar	entretener	1.6
capturar	agarrar	3.3
encontrar	escapar	0.3
buscar	indagar	3.9
convencer	discutir	1.2
parcialidad	inclinarse	1.9
inferior	reducir	1
ignorar	explorar	0.2
intentar	tener la intención	3.2
resolver	terminar	3.2
manchar	untar	0.4
proclamar	anunciar	4.2
tratar	convencer	1.6
hacer huelga	perder	0.2
vagar	deambular	5.2
lanzar	enviar	2.3
disfrazar	cubrir	1.3
ayudar	pedir	0.5
recibir	dar	0.3
salvar	ahogar	0.3
crear	dibujar	1.5
alterar	cambiar	4.2
mirar	observar	4.2
desaparecer	encoger	0.4
castigar	golpear	1.3
olvidar	conservar	0.3
bien	amablemente	0.9
Nunca	honestamente	0.2
fielmente	honestamente	2.6
significativamente	especialmente	2.6
anormalmente	normalmente	0.2
afirmativamente	probablemente	0.9
precisamente	activamente	1
firmemente	herméticamente	0.6
discretamente	cortésmente	1.9
antes de	después	0.1
sin peligro	felizmente	0.5
inmediatamente	pronto	4.1
emocionalmente	tristemente	1.7
principalmente	terminalmente	0.4
precisamente	inexactamente	0.1
después	Nunca	0.4
suavemente	firmemente	0.3
brillantemente	ligeramente	0
esta noche	hoy	2.5
localmente	cercanamente	2
ahora	aquí	1.9
herméticamente	increíblemente	0
ruidosamente	suavemente	0.1
normalmente	diariamente	3.4
peligrosamente	cuidadosamente	0.3
recientemente	de manera realista	0
seguramente	responsablemente	0.8
originalmente	creativamente	1.9
necesariamente	esencialmente	3.6
en tono rimbombante	verdaderamente	0.1
mortal	felizmente	0.1
tranquilamente	firmemente	0.8
críticamente	esencialmente	0.9
nerviosamente	ansiosamente	4.1
aproximadamente	fácilmente	0.2
orgullosamente	pacíficamente	0.2
generalmente	sinceramente	0.8
aproximadamente	Impacientemente	0.1
extraordinariamente	extrañamente	2.5
naturalmente	antinaturalmente	0.1
oficialmente	en tono rimbombante	0.4
uniformemente	a veces	0.2
exactamente	precisamente	5.1
aparentemente	simplemente	0.5
claramente	seguramente	3.1
puramente	completamente	2.3
seguramente	obviamente	2.5
generosamente	amablemente	3.3
verdaderamente	perfectamente	0.9
orgullosamente	humildemente	0.1
cómodamente	fácilmente	3.3
diferentemente	extrañamente	1.6
seguramente	a veces	0.9
delicadamente	actualmente	0
cuidadosamente	de manera segura	3.9
seriamente	sinceramente	2.4
abiertamente	macizamente	0.2
oficialmente	fuertemente	0
instantáneamente	una vez	0.9
increíblemente	muy	0.5
actualmente	recientemente	3.1
últimamente	recientemente	4.9
ligeramente	aproximadamente	0.4
pasivamente	activamente	0.2
quizás	probablemente	4.2
sutilmente	tranquilamente	1.8
aparentemente	obviamente	3.3
ruidosamente	sutilmente	0.1
generalmente	raramente	0.1
a veces	a menudo	2.4
seguramente	pasivamente	0
obviamente	en la zona	0
humildemente	mal	0.2
probable	posiblemente	4.3
justamente	injustamente	0.1
brillantemente	muy	0.3
idealmente	de modo realista	0.7
a menudo	raramente	0.8
urgentemente	con rapidez	4.3
dos veces	siempre	0.1
mayormente	principalmente	4.7
significativamente	profundamente	2.5
esmeradamente	hermosamente	1.2
cuidadosamente	cautelosamente	4.5
mecánicamente	idealmente	0.2
dos veces	múltiple	1.4
profundamente	principalmente	1.4
a veces	cuando	1
negativamente	antinaturalmente	1.9
Nunca	raramente	1.9
responsablemente	independientemente	0.6
activamente	felizmente	0.1
pacíficamente	caóticamente	0.1
aproximadamente	seguramente	1.2
completamente	básicamente	1.4
una vez	dos veces	0.5
con confianza	secretamente	1.1
en tono rimbombante	seriamente	1.1
maduro	inteligentemente	1.3
improbable	simpático	0
ligeramente	completamente	0.1
honestamente	sinceramente	4.9
rutinariamente	normalmente	4.2
ocasionalmente	regularmente	1.7
groseramente	aproximadamente	0.5
diferentemente	terminalmente	0
tranquilamente	naturalmente	1.4
espantosamente	fantásticamente	0.4
obviamente	discretamente	0.4
posiblemente	con optimismo	1.1
mañana	esta noche	0.4
amablemente	suavemente	2.1
generalmente	irregularmente	0.6
rectamente	maduro	1.1
locamente	tristemente	0.7
sucio	excesivamente	0
tranquilamente	pacíficamente	3.9
obviamente	aproximadamente	0.8
pasivamente	silenciosamente	0.7
generosamente	Nunca	0
definitivamente	seguramente	3.6
a casa	lejos	0.1
ruidosamente	locamente	1.1
